Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18172471,"The Selection Stories: The Prince & The Guard (The Selection, #0.5, #2.5)",Kiera Cass,"Cass, Kiera",,"=""0062318322""","=""9780062318329""",3,3.91,HarperTeen,Paperback,227,2014,2014,2015/01/03,2014/12/11,,,read,,,,1,0
14748094,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,"=""0062262858""","=""9780062262851""",4,3.95,HarperTeen,Paperback,323,2013,2013,2014/12/10,2014/12/10,,,read,The love triangle here reminds closely me of the one from the Trylle series.,,,1,0
15818308,"The Selection (The Selection, #1)",Kiera Cass,"Cass, Kiera",,"=""0062059947""","=""9780062059949""",4,4.08,HarperTeen,Paperback,327,2013,2012,2014/12/10,2014/12/10,,,read,,,,1,0
18635142,"The One (The Selection, #3)",Kiera Cass,"Cass, Kiera",,"=""0062325477""","=""9780062325471""",4,4.15,HarperTeen,Paperback,323,2014,2014,2014/12/11,2014/12/11,,,read,,,,1,0
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,"=""0375856110""","=""9780375856112""",4,4.15,Alfred A. Knopf,Hardcover,849,2011,2011,2014/12/09,2014/11/26,,,read,"This book is the most intricately woven story ever. In this conclusion, it leaves nothing out and I mean nothing. The conclusion of this book is like 10 chapters already... Crazy right? But I envy his talents in writing with such far thought out plots",,,1,0
17322949,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1409120546""","=""9781409120544""",4,3.94,Hachette UK,Paperback,325,2015,2012,2014/08/19,2014/08/20,,,read,"At first I wasn't really happy with the ending. It was too much of a cliffhanger, but then I read the sort of author's note at the back and I thought 'High school romances are called that because they stay in high school.' Teenage love is so fleeting, nothing is really perfect. It was like a reality check. Maybe I prefer happy endings, but sometimes not all stories have one.",,,1,0
11736995,"Where She Went (If I Stay, #2)",Gayle Forman,"Forman, Gayle",,"=""0142420891""","=""9780142420898""",5,3.98,Speak,Paperback,264,2012,2011,2014/11/25,2014/08/29,,,read,So far the only guy's P.O.V. sequel which provides closure to the series.,,,1,0
1222906,Pictures of Hollis Woods,Patricia Reilly Giff,"Giff, Patricia Reilly",,"=""0439577845""","=""9780439577847""",4,4.03,Scholastic Inc.,Paperback,166,2004,2002,2014/11/26,2014/11/26,,,read,,,,1,0
18142750,This Is What Happy Looks Like (This Is What Happy Looks Like #1),Jennifer E. Smith,"Smith, Jennifer E.",,"=""0316212814""","=""9780316212816""",3,3.67,Poppy,Paperback,407,2013,2013,2014/11/13,2014/11/10,,,read,,,,1,0
9846385,"From Willa, With Love (Wedding Planner's Daughter #6)",Coleen Murtagh Paratore,"Paratore, Coleen Murtagh",,"=""0545094054""","=""9780545094054""",4,4.08,Scholastic Press,Hardcover,208,2011,2011,2014/11/25,2014/11/24,,,read,Some things can be learned from this book especially for book people  :),,,1,0
7881307,The Miracle Stealer,Neil Connelly,"Connelly, Neil",,"=""0545131952""","=""9780545131957""",3,3.18,Arthur A. Levine Books,Hardcover,240,2010,2010,2014/11/23,2014/11/18,,,read,,,,1,0
21082129,The Blood of Olympus (Heroes of Olympus #5),Rick Riordan,"Riordan, Rick",,"=""0141339225""","=""9780141339221""",5,4.43,Puffin,Hardcover,528,1600,2014,2014/10/22,2014/10/21,,,read,BRILLIANT :') I don't want this book to ever stop.. ><,,,1,0
10798416,The Statistical Probability of Love at First Sight,Jennifer E. Smith,"Smith, Jennifer E.",,"=""0316122386""","=""9780316122382""",5,3.75,Poppy/Little Brown,Hardcover,236,2012,2012,2014/11/10,2014/11/09,,,read,The kind of book where you have mixed feelings about so much so that you just don't want it to end.,,,1,0
16068341,The Truth About Alice,Jennifer Mathieu,"Mathieu, Jennifer",,"=""""","=""""",0,3.63,Roaring Brook Press,Kindle Edition,209,2014,2014,,2014/11/07,to-read,to-read (#14),to-read,,,,0,0
12924075,A World Away,Nancy Grossman,"Grossman, Nancy",,"=""1423151534""","=""9781423151531""",4,3.82,Hyperion Book CH,Hardcover,400,2012,2012,2014/11/05,2014/10/29,,,read,,,,1,0
6420815,A Little Princess,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,"=""0340997397""","=""9780340997390""",5,4.22,Hodder Children's Books,Paperback,205,2009,1905,,2014/11/01,,,read,,,,1,0
9627755,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Stephanie Perkins,"Perkins, Stephanie",,"=""0525425632""","=""9780525425632""",0,4.00,Dutton,Hardcover,339,2014,2014,,2014/10/30,to-read,to-read (#13),to-read,,,,0,0
12842134,"Just One Year (Just One Day, #2)",Gayle Forman,"Forman, Gayle",,"=""""","=""""",0,3.88,Dutton Children's,Kindle Edition,336,2013,2013,,2014/10/30,to-read,to-read (#12),to-read,,,,0,0
6442769,Paper Towns,John Green,"Green, John",Gázsity Mila,"=""014241493X""","=""9780142414934""",5,3.71,Speak,Paperback,305,2009,2008,2014/10/28,2014/10/16,,,read,,,,1,0
